pair,base,quote,date
SYLO/USDT,SYLO,USDT,2025-09-08T05:36:14Z
KALIS/USDT,KALIS,USDT,2025-09-08T05:36:14Z
XCV/USDT,XCV,USDT,2025-09-08T05:36:14Z
FAND/USDT,FAND,USDT,2025-09-08T05:36:14Z
MOON/USDT,MOON,USDT,2025-09-08T05:36:14Z
JUNO/USDT,JUNO,USDT,2025-09-08T05:36:14Z
ABBC/USDT,ABBC,USDT,2025-09-08T05:36:14Z
KINTO/USDT,KINTO,USDT,2025-09-08T06:43:44Z
SYLO/USDT,SYLO,USDT,2025-09-09T00:55:19Z
KALIS/USDT,KALIS,USDT,2025-09-09T00:55:19Z
XCV/USDT,XCV,USDT,2025-09-09T00:55:19Z
FAND/USDT,FAND,USDT,2025-09-09T00:55:19Z
MOON/USDT,MOON,USDT,2025-09-09T00:55:19Z
JUNO/USDT,JUNO,USDT,2025-09-09T00:55:19Z
KINTO/USDT,KINTO,USDT,2025-09-09T00:55:19Z
ABBC/USDT,ABBC,USDT,2025-09-09T00:55:19Z
W3GG/USDT,W3GG,USDT,2025-09-09T11:11:40Z
BRLN/USDT,BRLN,USDT,2025-09-09T11:11:40Z
NEWM/USDT,NEWM,USDT,2025-09-09T11:11:40Z
SYLO/USDT,SYLO,USDT,2025-09-10T00:00:10Z
KALIS/USDT,KALIS,USDT,2025-09-10T00:00:10Z
XCV/USDT,XCV,USDT,2025-09-10T00:00:10Z
FAND/USDT,FAND,USDT,2025-09-10T00:00:10Z
MOON/USDT,MOON,USDT,2025-09-10T00:00:10Z
JUNO/USDT,JUNO,USDT,2025-09-10T00:00:10Z
ABBC/USDT,ABBC,USDT,2025-09-10T00:00:10Z
AVL/USDT,AVL,USDT,2025-09-10T02:19:33Z
DOP/USDT,DOP,USDT,2025-09-10T15:50:02Z
SYLO/USDT,SYLO,USDT,2025-09-11T00:00:27Z
KALIS/USDT,KALIS,USDT,2025-09-11T00:00:27Z
XCV/USDT,XCV,USDT,2025-09-11T00:00:27Z
DOP/USDT,DOP,USDT,2025-09-11T00:00:27Z
FAND/USDT,FAND,USDT,2025-09-11T00:00:27Z
MOON/USDT,MOON,USDT,2025-09-11T00:00:27Z
JUNO/USDT,JUNO,USDT,2025-09-11T00:00:27Z
ABBC/USDT,ABBC,USDT,2025-09-11T00:00:27Z
